"subject","condition_num","time_bin","condition","fix","total_fix"
"11795388",-0.5,1000,"unrelated",5,38
"11795388",-0.5,1100,"unrelated",0,30
"11795388",-0.5,1200,"unrelated",0,20
"11795388",-0.5,1300,"unrelated",0,9
"11795388",-0.5,1400,"unrelated",0,10
"11795388",-0.5,1500,"unrelated",0,4
"11795388",-0.5,1600,"unrelated",1,2
"11795388",-0.5,1700,"unrelated",1,1
"11795388",-0.5,1800,"unrelated",2,2
"11795388",-0.5,1900,"unrelated",1,1
"11795388",0.5,-100,"cohort",16,60
"11795388",0.5,0,"cohort",15,62
"11795388",0.5,100,"cohort",15,63
"11795388",0.5,200,"cohort",14,69
"11795388",0.5,300,"cohort",11,55
"11795388",0.5,400,"cohort",8,55
"11795388",0.5,500,"cohort",20,63
"11795388",0.5,600,"cohort",14,48
"11795388",0.5,700,"cohort",10,58
"11795388",0.5,800,"cohort",5,43
"11795388",0.5,900,"cohort",2,40
"11795388",0.5,1000,"cohort",4,38
"11795388",0.5,1100,"cohort",3,30
"11795388",0.5,1200,"cohort",1,20
"11795388",0.5,1300,"cohort",3,9
"11795388",0.5,1400,"cohort",2,10
"11795388",0.5,1500,"cohort",1,4
"11795388",0.5,1600,"cohort",1,2
"11795388",0.5,1700,"cohort",0,1
"11795388",0.5,1800,"cohort",0,2
"11795388",0.5,1900,"cohort",0,1
"11795426",-0.5,-100,"unrelated",1,1
"11795426",-0.5,0,"unrelated",10,39
"11795426",-0.5,100,"unrelated",0,1
"11795426",-0.5,200,"unrelated",11,37
"11795426",-0.5,300,"unrelated",9,28
"11795426",-0.5,400,"unrelated",1,12
"11795426",-0.5,500,"unrelated",5,36
"11795426",-0.5,600,"unrelated",0,1
"11795426",-0.5,700,"unrelated",4,30
"11795426",-0.5,800,"unrelated",0,5
"11795426",-0.5,900,"unrelated",0,18
"11795426",-0.5,1000,"unrelated",0,9
"11795426",-0.5,1100,"unrelated",0,2
"11795426",-0.5,1200,"unrelated",0,5
"11795426",-0.5,1400,"unrelated",0,2
"11795426",-0.5,1600,"unrelated",0,1
"11795426",0.5,-100,"cohort",0,1
"11795426",0.5,0,"cohort",11,39
"11795426",0.5,100,"cohort",0,1
"11795426",0.5,200,"cohort",7,37
"11795426",0.5,300,"cohort",6,28
"11795426",0.5,400,"cohort",2,12
"11795426",0.5,500,"cohort",10,36
"11795426",0.5,600,"cohort",1,1
"11795426",0.5,700,"cohort",5,30
"11795426",0.5,800,"cohort",0,5
"11795426",0.5,900,"cohort",4,18
"11795426",0.5,1000,"cohort",0,9
"11795426",0.5,1100,"cohort",0,2
"11795426",0.5,1200,"cohort",0,5
"11795426",0.5,1400,"cohort",0,2
"11795426",0.5,1600,"cohort",0,1
"11795446",-0.5,-100,"unrelated",24,86
"11795446",-0.5,0,"unrelated",23,86
"11795446",-0.5,100,"unrelated",19,82
"11795446",-0.5,200,"unrelated",18,82
"11795446",-0.5,300,"unrelated",18,82
"11795446",-0.5,400,"unrelated",24,81
"11795446",-0.5,500,"unrelated",23,82
"11795446",-0.5,600,"unrelated",22,80
"11795446",-0.5,700,"unrelated",15,79
"11795446",-0.5,800,"unrelated",20,83
"11795446",-0.5,900,"unrelated",17,84
"11795446",-0.5,1000,"unrelated",12,75
"11795446",-0.5,1100,"unrelated",7,82
"11795446",-0.5,1200,"unrelated",6,80
"11795446",-0.5,1300,"unrelated",4,62
"11795446",-0.5,1400,"unrelated",1,57
"11795446",-0.5,1500,"unrelated",0,46
"11795446",-0.5,1600,"unrelated",0,30
"11795446",-0.5,1700,"unrelated",0,23
"11795446",-0.5,1800,"unrelated",0,15
"11795446",-0.5,1900,"unrelated",3,8
"11795446",0.5,-100,"cohort",13,86
"11795446",0.5,0,"cohort",9,86
"11795446",0.5,100,"cohort",16,82
"11795446",0.5,200,"cohort",19,82
"11795446",0.5,300,"cohort",13,82
"11795446",0.5,400,"cohort",16,81
"11795446",0.5,500,"cohort",16,82
"11795446",0.5,600,"cohort",10,80
"11795446",0.5,700,"cohort",18,79
"11795446",0.5,800,"cohort",18,83
"11795446",0.5,900,"cohort",14,84
"11795446",0.5,1000,"cohort",9,75
"11795446",0.5,1100,"cohort",13,82
"11795446",0.5,1200,"cohort",10,80
"11795446",0.5,1300,"cohort",5,62
"11795446",0.5,1400,"cohort",8,57
"11795446",0.5,1500,"cohort",9,46
"11795446",0.5,1600,"cohort",6,30
"11795446",0.5,1700,"cohort",2,23
"11795446",0.5,1800,"cohort",3,15
"11795446",0.5,1900,"cohort",2,8
"11795529",-0.5,-100,"unrelated",16,83
"11795529",-0.5,0,"unrelated",17,85
"11795529",-0.5,100,"unrelated",28,100
"11795529",-0.5,200,"unrelated",21,94
"11795529",-0.5,300,"unrelated",14,82
"11795529",-0.5,400,"unrelated",12,86
"11795529",-0.5,500,"unrelated",2,80
"11795529",-0.5,600,"unrelated",5,71
"11795529",-0.5,700,"unrelated",6,58
"11795529",-0.5,800,"unrelated",4,48
"11795529",-0.5,900,"unrelated",1,33
"11795529",-0.5,1000,"unrelated",0,21
"11795529",-0.5,1100,"unrelated",0,12
"11795529",-0.5,1200,"unrelated",0,10
"11795529",-0.5,1300,"unrelated",0,6
"11795529",-0.5,1400,"unrelated",0,2
"11795529",0.5,-100,"cohort",28,83
"11795529",0.5,0,"cohort",21,85
"11795529",0.5,100,"cohort",23,100
"11795529",0.5,200,"cohort",12,94
"11795529",0.5,300,"cohort",10,82
"11795529",0.5,400,"cohort",14,86
"11795529",0.5,500,"cohort",18,80
"11795529",0.5,600,"cohort",11,71
"11795529",0.5,700,"cohort",8,58
"11795529",0.5,800,"cohort",7,48
"11795529",0.5,900,"cohort",3,33
"11795529",0.5,1000,"cohort",0,21
"11795529",0.5,1100,"cohort",2,12
"11795529",0.5,1200,"cohort",1,10
"11795529",0.5,1300,"cohort",0,6
"11795529",0.5,1400,"cohort",0,2
"11795650",-0.5,-100,"unrelated",5,54
"11795650",-0.5,0,"unrelated",8,49
"11795650",-0.5,100,"unrelated",8,47
"11795650",-0.5,200,"unrelated",8,41
"11795650",-0.5,300,"unrelated",5,36
"11795650",-0.5,400,"unrelated",6,35
"11795650",-0.5,500,"unrelated",5,37
"11795650",-0.5,600,"unrelated",1,24
"11795650",-0.5,700,"unrelated",3,29
"11795650",-0.5,800,"unrelated",0,12
"11795650",-0.5,900,"unrelated",2,13
"11795650",-0.5,1000,"unrelated",1,9
"11795650",-0.5,1100,"unrelated",1,5
"11795650",-0.5,1200,"unrelated",0,3
"11795650",-0.5,1300,"unrelated",1,4
"11795650",-0.5,1400,"unrelated",0,3
"11795650",-0.5,1500,"unrelated",0,1
"11795650",-0.5,1600,"unrelated",0,1
"11795650",-0.5,1800,"unrelated",0,1
"11795650",0.5,-100,"cohort",21,54
"11795650",0.5,0,"cohort",13,49
